date,location,organiser,Title,band_1,band_2,band_3,band_4,band_5,band_6,poster_url,links
2019-03-23,underground,stoa60,gig,LITTLE VIRGIN EXPERIENCE,MERIDIAN BLANK,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-23_little-virgin-experience-meridian-blank.jpg,
2019-03-19,underground,stoa60,gig,WEEDWOLF,TIDAL SHOCK,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-19_weedwolf-tidal-shock.jpg,
2019-03-16,underground,stoa60,gig,REPRISAL,PURE VIOLENT HEDONISM,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-16_reprisalpvhedonism.jpg,
2019-03-09,underground,stoa60,gig,SANS CORPS,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-09_sans-corps.jpg,
2019-03-02,underground,stoa60,gig,DUOYU,SUGAR KANE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-03-02_duoyu-sugar-kane.jpg,
2019-02-24,underground,ba2037,Experimental Sundays,ANFS,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-24_ANFS.jpg,
2019-02-23,underground,stoa60,gig,INFLUENZA,BABY CULT,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-23_influenza-baby-cult.jpg,
2019-02-16,underground,stoa60,gig,MISSBRAUCH,THE THIN BASTARDS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-16_missbrauch-the-thin-bastards.jpg,
2019-02-10,underground,ba2037,Experimental Sundays,DELEVELED,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-10_deleveled.jpg,
2019-02-09,underground,stoa60,gig,COSMIC PLUNGE,WISE ASTRONOMIST,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-09_cosmic-plunge-wise-astronomist.jpg,
2019-02-02,underground,stoa60,gig,AUTOMATON,TIDAL SHOCK,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-02-02_automaton-tidal-shock.jpg,
2019-01-26,underground,stoa60,gig,SWIM TO CAPE SHERPA,BERDNTURTLE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-01-26_swim-to-cape-sherpa-berdnturtle.jpg,
2019-01-19,underground,stoa60,gig,PSYCHEDELIC TRIPS TO DEATH,HUMACHINES,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-01-19_Psychedelictrips.jpg,
2019-01-13,underground,ba2037,Experimental Sundays,DEEP IN MIND,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2019-01-13_secondsunday.jpg,
2019-01-12,evangelismos,ba2037,gig,TONTO,KRATS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2019-2020/2019-12-01_tonto.jpg,
2018-12-29,underground,stoa60,gig,CRISIS CALL,TERRIE,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-29_crisis-call-terrie.jpg,
2018-12-22,underground,stoa60,gig,NYX,BLACK SPIRIT X ACE,ΜΥΣΤΗΡΙΟΣ ΤΥΠΟΣ,SKALE,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-22_nyx-black-spirit-x-ace-mystirios-typos-skale.jpg,
2018-12-21,voutes,rastapank;ba2037,Party,ΒΟΥΤΕΣ ΠΑΡΤΥ,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-21_voutesparty.jpg,
2018-12-14,underground,stoa60,gig,NERRVES,MELLON SNACKMAN IGUANA,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-14_nerrves-mellon-snackman-iguana.jpg,
2018-12-08,underground,stoa60,gig,TREEP,THYMICS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-08_treep-thymics.jpg,
2018-12-02,underground,ba2037,Experimental Sundays,SILENCE OF THE GOAT,MX,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-02_firstSunday.jpg,
2018-12-01,underground,stoa60,gig,BLACK SUMMER,PUNKOFONIX,ΣΤΡΑΦΙ,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-12-01_black-summer-punkofonix-strafi.jpg,
2018-11-10,underground,stoa60,gig,TWINSANITY,AFEZZ,ΣΑΙΚΟ,MISS ZEBRA,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-11-10_twinsanity-afezz-saiko-miss-zebra.jpg,
2018-11-02,underground,stoa60,gig,MARK MORGAN,DEAD GUM,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-11-02_mark-morgan-dead-gum.jpg,
2018-10-27,underground,stoa60,gig,MELLOW LIZARD,ΜΙΝΕΡΒΑ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-10-27_mellow-lizard-minerva.jpg,
2018-10-24,underground,stoa60,gig,INSECT RADIO,BELOW THE BOTTOM,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-10-24_insect-radio-below-the-bottom.jpg,
2018-10-17,underground,stoa60,gig,RITA MOSS,IONLYSLEEPWITHTHEBEST,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-10-17_rita-moss-ionlysleepwiththebest.jpg,
2018-10-14,underground,stoa60,gig,TWO HORSES AND A COW,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-10-14_two-horses-and-a-cow.jpg,
2018-10-06,underground,stoa60,gig,ΟΤΟΜΠΡΙΤΣΙ ΜΟΤΟΡΙ,ΑΧΑΙΡΕΥΤΟΙ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-10-06_otompritsi-motori-achaireytoi.jpg,
2018-09-08,georgiadis,stoa60,Down Tuned Dazed,1000MODS,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-09-08_1000MODS_fest.jpg,
2018-09-01,karabolas,stoa60,Party,PARTY SIMULATION EXPERIMENT,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2018-2019/2018-09-01_experiment.jpg,
2018-08-08,georgiadis,stoa60,Party,PIRATES CITY,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-08-08_pirateCity.jpg,
2018-07-14,georgiadis,stoa60,Tsurai Fest,KOOBA TERCU,WHAM JA,THE PERIODS,ΟΡΗ,MELLON SNACKMAN IGUANA,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-07-14_first_tsurai_fest.jpg,
2018-05-25,underground,stoa60,gig,OLLA VIA,IMPEDANCE,CHRYSANTHEMUM,OUROBOROS,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-05-25_olla-via-impedance-chrysanthemum-ouroboros.jpg,
2018-05-19,karabolas,stoa60,Party,PARTY 3 ΧΡΟΝΙΑ ΣΤΟΑ,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-05-19_first_karavolas.jpg,
2018-05-18,underground,stoa60,gig,TWO HORSES AND A COW,,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-05-18_two-horses-and-a-cow.jpg,
2018-05-05,underground,stoa60,gig,SPYRAL OF SILENCE,WISE ASTRONOMIST,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-05-05_spyral-of-silence-wise-astronomist.jpg,
2018-04-27,underground,stoa60,gig,ΑΓΟΡΙΑΣΤΟΝΗΛΙΟ,ΟΤΟΜΠΡΙΤΣΙ ΜΟΤΟΡΙ,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-04-27_agoriastonilio-otobritsi-motori.jpg,
2018-04-21,underground,stoa60,gig,BEYOND PERCEPTION,O.Y.D,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-04-21_beyond-perception-oyd.jpg,
2018-04-14,underground,stoa60,gig,THE CYCLOTHYMICS,THYMICS,,,,,https://raw.githubusercontent.com/xiaflos/stoa60/main/src/assets/images/posters/2017-2018/2018-04-14_the-cyclothymics-thymics.jpg,
